AFG,Afghanistan,1000
ALA,��land Islands,2000
ALB,Albania,3000
DZA,Algeria,4000
ASM,American Samoa,5000
AND,Andorra,6000
AGO,Angola,7000
AIA,Anguilla,8000
ATA,Antarctica,9000
ATG,Antigua and Barbuda,10000
ARG,Argentina,11000
ARM,Armenia,12000
ABW,Aruba,13000
AUS,Australia,14000
AUT,Austria,15000
AZE,Azerbaijan,16000
BHS,Bahamas,17000
BHR,Bahrain,18000
BGD,Bangladesh,19000
BRB,Barbados,20000
BLR,Belarus,21000
BEL,Belgium,22000
BLZ,Belize,23000
BEN,Benin,24000
BMU,Bermuda,25000
BTN,Bhutan,26000
BOL,Bolivia (Plurinational State of),27000
BES,"Bonaire, Sint Eustatius and Saba",28000
BIH,Bosnia and Herzegovina,29000
BWA,Botswana,30000
BVT,Bouvet Island,31000
BRA,Brazil,32000
IOT,British Indian Ocean Territory,33000
BRN,Brunei Darussalam,34000
BGR,Bulgaria,35000
BFA,Burkina Faso,36000
BDI,Burundi,37000
KHM,Cambodia,38000
CMR,Cameroon,39000
CAN,Canada,40000
CPV,Cabo Verde,41000
CYM,Cayman Islands,42000
CAF,Central African Republic,43000
TCD,Chad,44000
CHL,Chile,45000
CHN,China,46000
CXR,Christmas Island,47000
CCK,Cocos (Keeling) Islands,48000
COL,Colombia,49000
COM,Comoros,50000
COG,Congo,51000
COD,Congo (Democratic Republic of the),52000
COK,Cook Islands,53000
CRI,Costa Rica,54000
CIV,C̫te d'Ivoire,55000
HRV,Croatia,56000
CUB,Cuba,57000
CUW,Cura̤ao,58000
CYP,Cyprus,59000
CZE,Czech Republic,60000
DNK,Denmark,61000
DJI,Djibouti,62000
DMA,Dominica,63000
DOM,Dominican Republic,64000
ECU,Ecuador,65000
EGY,Egypt,66000
SLV,El Salvador,67000
GNQ,Equatorial Guinea,68000
ERI,Eritrea,69000
EST,Estonia,70000
ETH,Ethiopia,71000
FLK,Falkland Islands (Malvinas),72000
FRO,Faroe Islands,73000
FJI,Fiji,74000
FIN,Finland,75000
FRA,France,76000
GUF,French Guiana,77000
PYF,French Polynesia,78000
ATF,French Southern Territories,79000
GAB,Gabon,80000
GMB,Gambia,81000
GEO,Georgia,82000
DEU,Germany,83000
GHA,Ghana,84000
GIB,Gibraltar,85000
GRC,Greece,86000
GRL,Greenland,87000
GRD,Grenada,88000
GLP,Guadeloupe,89000
GUM,Guam,90000
GTM,Guatemala,91000
GGY,Guernsey,92000
GIN,Guinea,93000
GNB,Guinea-Bissau,94000
GUY,Guyana,95000
HTI,Haiti,96000
HMD,Heard Island and McDonald Islands,97000
VAT,Holy See,98000
HND,Honduras,99000
HKG,Hong Kong,100000
HUN,Hungary,101000
ISL,Iceland,102000
IND,India,103000
IDN,Indonesia,104000
IRN,Iran (Islamic Republic of),105000
IRQ,Iraq,106000
IRL,Ireland,107000
IMN,Isle of Man,108000
ISR,Israel,109000
ITA,Italy,110000
JAM,Jamaica,111000
JPN,Japan,112000
JEY,Jersey,113000
JOR,Jordan,114000
KAZ,Kazakhstan,115000
KEN,Kenya,116000
KIR,Kiribati,117000
PRK,Korea (Democratic People's Republic of),118000
KOR,Korea (Republic of),119000
KWT,Kuwait,120000
KGZ,Kyrgyzstan,121000
LAO,Lao People's Democratic Republic,122000
LVA,Latvia,123000
LBN,Lebanon,124000
LSO,Lesotho,125000
LBR,Liberia,126000
LBY,Libya,127000
LIE,Liechtenstein,128000
LTU,Lithuania,129000
LUX,Luxembourg,130000
MAC,Macao,131000
MKD,Macedonia (the former Yugoslav Republic of),132000
MDG,Madagascar,133000
MWI,Malawi,134000
MYS,Malaysia,135000
MDV,Maldives,136000
MLI,Mali,137000
MLT,Malta,138000
MHL,Marshall Islands,139000
MTQ,Martinique,140000
MRT,Mauritania,141000
MUS,Mauritius,142000
MYT,Mayotte,143000
MEX,Mexico,144000
FSM,Micronesia (Federated States of),145000
MDA,Moldova (Republic of),146000
MCO,Monaco,147000
MNG,Mongolia,148000
MNE,Montenegro,149000
MSR,Montserrat,150000
MAR,Morocco,151000
MOZ,Mozambique,152000
MMR,Myanmar,153000
NAM,Namibia,154000
NRU,Nauru,155000
NPL,Nepal,156000
NLD,Netherlands,157000
NCL,New Caledonia,158000
NZL,New Zealand,159000
NIC,Nicaragua,160000
NER,Niger,161000
NGA,Nigeria,162000
NIU,Niue,163000
NFK,Norfolk Island,164000
MNP,Northern Mariana Islands,165000
NOR,Norway,166000
OMN,Oman,167000
PAK,Pakistan,168000
PLW,Palau,169000
PSE,"Palestine, State of",170000
PAN,Panama,171000
PNG,Papua New Guinea,172000
PRY,Paraguay,173000
PER,Peru,174000
PHL,Philippines,175000
PCN,Pitcairn,176000
POL,Poland,177000
PRT,Portugal,178000
PRI,Puerto Rico,179000
QAT,Qatar,180000
REU,R̩union,181000
ROU,Romania,182000
RUS,Russian Federation,183000
RWA,Rwanda,184000
BLM,Saint Barth̩lemy,185000
SHN,"Saint Helena, Ascension and Tristan da Cunha",186000
KNA,Saint Kitts and Nevis,187000
LCA,Saint Lucia,188000
MAF,Saint Martin (French part),189000
SPM,Saint Pierre and Miquelon,190000
VCT,Saint Vincent and the Grenadines,191000
WSM,Samoa,192000
SMR,San Marino,193000
STP,Sao Tome and Principe,194000
SAU,Saudi Arabia,195000
SEN,Senegal,196000
SRB,Serbia,197000
SYC,Seychelles,198000
SLE,Sierra Leone,199000
SGP,Singapore,200000
SXM,Sint Maarten (Dutch part),201000
SVK,Slovakia,202000
SVN,Slovenia,203000
SLB,Solomon Islands,204000
SOM,Somalia,205000
ZAF,South Africa,206000
SGS,South Georgia and the South Sandwich Islands,207000
SSD,South Sudan,208000
ESP,Spain,209000
LKA,Sri Lanka,210000
SDN,Sudan,211000
SUR,Suriname,212000
SJM,Svalbard and Jan Mayen,213000
SWZ,Swaziland,214000
SWE,Sweden,215000
CHE,Switzerland,216000
SYR,Syrian Arab Republic,217000
TWN,"Taiwan, Province of China",218000
TJK,Tajikistan,219000
TZA,"Tanzania, United Republic of",220000
THA,Thailand,221000
TLS,Timor-Leste,222000
TGO,Togo,223000
TKL,Tokelau,224000
TON,Tonga,225000
TTO,Trinidad and Tobago,226000
TUN,Tunisia,227000
TUR,Turkey,228000
TKM,Turkmenistan,229000
TCA,Turks and Caicos Islands,230000
TUV,Tuvalu,231000
UGA,Uganda,232000
UKR,Ukraine,233000
ARE,United Arab Emirates,234000
GBR,United Kingdom of Great Britain and Northern Ireland,235000
USA,United States of America,236000
UMI,United States Minor Outlying Islands,237000
URY,Uruguay,238000
UZB,Uzbekistan,239000
VUT,Vanuatu,240000
VEN,Venezuela (Bolivarian Republic of),241000
VNM,Viet Nam,242000
VGB,Virgin Islands (British),243000
VIR,Virgin Islands (U.S.),244000
WLF,Wallis and Futuna,245000
ESH,Western Sahara,246000
YEM,Yemen,247000
ZMB,Zambia,248000
ZWE,Zimbabwe,249000
