10101,NOSC,Bank of Nova Scotia,A-1025645645,CAD,7,2017-03-01,0
45565,BOFA,Bank of America,A-2226456456,USD,2,2017-03-01,0
98345,WFBI,Wells Fargo,A-3055465464,USD,3,2017-03-01,0
58890,GSTR,Goldman Sachs,A-3284598894,USD,1,2017-03-01,0
19120,DWRI,Morgan Stanley,A-4659002845,USD,6,2017-03-01,0
38755,PNCC,PNC Bank,A-5689793840,USD,4,2017-03-01,0
94388,BIME,HSBC,A-6789028930,USD,8,2017-03-01,0
66910,RBOS,Royal Bank of Scotland,S-7839974249,GBP,5,2017-03-01,0
27404,DEUT,Deutsche Bank,G-8926464783,EUR,0,2017-03-01,0
29509,EONF,EON Bank,M-9926478489,MYR,9,2017-03-01,0
