transaction_id,direction,account_id,customer_id,transaction_type_code,transaction_date,transaction_country,sender_country,reciever_country,amount_usd,load_date,load_id,check_num,channel,device_type,sender_name,sender_login,sender_ip,sender_ip_country,sender_ip_lat,sender_ip_long
010f199b-bbb3-478c-bb7d-7c489cb97c13,INCOMING,9f3d4e36-ffa1-4da2-a59b-24b209fa8e3f,f64b93c9-a327-47e2-ada4-620fb421cb0f,CA,2016-01-01,KOR,KOR,USA,217177,2018-10-20,1540045717,0,ONLINE,COMPUTER,Nancy Tim,ntim,185.168.1.1,KOREA,35.9078N,127.7669E
010f199b-bbb3-478c-bb7d-7c489cb97c13,OUTGOING,eac3ddbc-c736-45b8-b3b1-3b99523ec62a,86546718-a253-4e2f-bca2-4e0c5490904e,CA,2016-01-01,KOR,KOR,USA,217177,2018-10-20,1540045717,0,ONLINE,COMPUTER,Nancy Tim,ntim,185.168.1.1,KOREA,35.9078N,127.7669E
021363a2-8cda-4144-9e81-ca5b81ec688e,INCOMING,9f3d4e36-ffa1-4da2-a59b-24b209fa8e3f,ba74f7ae-a6d0-47f5-9faf-6308750c1bf0,CA,2016-01-01,USA,USA,USA,509551,2018-10-20,1540045717,0,ONLINE,COMPUTER,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
021363a2-8cda-4144-9e81-ca5b81ec688e,OUTGOING,f5cb44ff-3536-414f-8c0f-69b7dc36a24c,75ff8845-a9c4-4a7d-ad07-f91a59a9118d,CA,2016-01-01,USA,USA,USA,509551,2018-10-20,1540045717,0,ONLINE,COMPUTER,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
024c7f4f-29cc-4c61-8f5f-197a2dd09c48,INCOMING,9f3d4e36-ffa1-4da2-a59b-24b209fa8e3f,2095c2da-2d04-4879-94e6-17189b3cc05e,CA,2016-01-01,USA,USA,USA,607889,2018-10-20,1540045717,0,ONLINE,COMPUTER,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
024c7f4f-29cc-4c61-8f5f-197a2dd09c48,OUTGOING,4b63b7c1-0c33-4506-8e64-a38057f31dca,4d9615c8-1625-45f2-81fe-a6304603dc3f,CA,2016-01-01,USA,USA,USA,607889,2018-10-20,1540045717,0,ONLINE,COMPUTER,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
07039fe4-47c8-46af-a1d5-8f7d43e21953,INCOMING,9f3d4e36-ffa1-4da2-a59b-24b209fa8e3f,52454722-04dd-4d6d-aa80-33ae9dcb38aa,CA,2016-01-01,USA,USA,USA,185587,2018-10-20,1540045717,0,ONLINE,MOBILE,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
07039fe4-47c8-46af-a1d5-8f7d43e21953,OUTGOING,a97a4966-aebe-4fce-8ad6-bb9e5bafbe33,6d4fd8f2-3e24-4076-a277-92f8e4844035,CA,2016-01-01,USA,USA,USA,185587,2018-10-20,1540045717,0,ONLINE,MOBILE,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
0bfc184d-5049-4bfa-b396-8f4b3888c639,INCOMING,9f3d4e36-ffa1-4da2-a59b-24b209fa8e3f,210b4806-3a42-40bb-98ba-8b699a3c8e99,CA,2016-01-01,USA,USA,USA,656992,2018-10-20,1540045717,0,ONLINE,COMPUTER,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
0bfc184d-5049-4bfa-b396-8f4b3888c639,OUTGOING,9edcd5a4-4626-4533-a327-3973a587918b,d964f6d0-b6d4-416d-8684-e5f93892d7fd,CA,2016-01-01,USA,USA,USA,656992,2018-10-20,1540045717,0,ONLINE,COMPUTER,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
0e20acee-2923-460b-af4c-967b09af11b9,INCOMING,9f3d4e36-ffa1-4da2-a59b-24b209fa8e3f,b129e737-e726-4aa7-80f2-87dd0520df5e,CA,2016-01-01,CAN,CAN,USA,36677,2018-10-20,1540045717,0,ONLINE,COMPUTER,Russell Pete,rpete,198.168.1.1,CANADA,56.1304N,106.3468W
0e20acee-2923-460b-af4c-967b09af11b9,OUTGOING,91622cf5-b072-40fb-bb56-5ae7c39ebc9b,a2c79605-7cfd-4f19-85b8-3b5d5455dbe7,CA,2016-01-01,CAN,CAN,USA,36677,2018-10-20,1540045717,0,ONLINE,COMPUTER,Russell Pete,rpete,198.168.1.1,CANADA,56.1304N,106.3468W
1494178c-cf06-4fd4-93b8-2e0b4a22332d,INCOMING,9f3d4e36-ffa1-4da2-a59b-24b209fa8e3f,015ad97a-b484-4905-b08f-60d1b469c224,CA,2016-01-01,CAN,CAN,USA,870351,2018-10-20,1540045717,0,ONLINE,COMPUTER,Russell Pete,rpete,185.168.1.1,CANADA,56.1304N,106.3468W
1494178c-cf06-4fd4-93b8-2e0b4a22332d,OUTGOING,86b7d9c8-7e6e-4915-8e0c-229bf0fefe02,a2c79605-7cfd-4f19-85b8-3b5d5455dbe7,CA,2016-01-01,CAN,CAN,USA,870351,2018-10-20,1540045717,0,ONLINE,COMPUTER,Russell Pete,rpete,185.168.1.1,CANADA,56.1304N,106.3468W
149f8902-d937-4982-a0fc-b2f72a305457,INCOMING,9f3d4e36-ffa1-4da2-a59b-24b209fa8e3f,1ddd8443-1e42-4365-9be9-bfe85618ff22,CA,2016-01-01,CAN,CAN,USA,489157,2018-10-20,1540045717,0,ONLINE,COMPUTER,Russell Pete,rpete,198.168.1.1,CANADA,56.1304N,106.3468W
149f8902-d937-4982-a0fc-b2f72a305457,OUTGOING,684fdb8c-2160-43d8-8249-3271198e519e,27e3354a-c3ea-460f-87c0-a63d4ce62985,CA,2016-01-01,CAN,CAN,USA,489157,2018-10-20,1540045717,0,ONLINE,COMPUTER,Russell Pete,rpete,198.168.1.1,CANADA,56.1304N,106.3468W
19421056-9309-4da6-9172-28e1207a7e51,INCOMING,9f3d4e36-ffa1-4da2-a59b-24b209fa8e3f,e5b509c5-bd17-443f-8cf1-abb7194709ac,CA,2016-01-01,USA,USA,USA,732297,2018-10-20,1540045717,0,ONLINE,COMPUTER,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
19421056-9309-4da6-9172-28e1207a7e51,OUTGOING,2e0c1a4f-42f5-4004-869a-bcefc85cdf79,a734d6d2-eae6-4bf9-aed4-884577037ff0,CA,2016-01-01,USA,USA,USA,732297,2018-10-20,1540045717,0,ONLINE,COMPUTER,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
1d0a47fa-a87a-4fe5-8361-1d062f13e094,INCOMING,9f3d4e36-ffa1-4da2-a59b-24b209fa8e3f,52454722-04dd-4d6d-aa80-33ae9dcb38aa,CA,2016-01-01,USA,USA,USA,295489,2018-10-20,1540045717,0,ONLINE,COMPUTER,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
1d0a47fa-a87a-4fe5-8361-1d062f13e094,OUTGOING,fb49e498-155b-49ce-b426-9792b88ec01d,56c10d6a-1107-4afc-982a-1e1c9dad9371,CA,2016-01-01,USA,USA,USA,295489,2018-10-20,1540045717,0,ONLINE,COMPUTER,John Miller,jmiller,172.162.1.19,USA,40.0583N,74.4057W
21131119-4ae5-42be-9bd2-0167034bcc7b,INCOMING,9f3d4e36-ffa1-4da2-a59b-24b209fa8e3f,2095c2da-2d04-4879-94e6-17189b3cc05e,CA,2016-01-01,KOR,KOR,USA,23955,2018-10-20,1540045717,0,ONLINE,COMPUTER,Nancy Tim,ntim,185.168.1.1,KOREA,35.9078N,127.7669E
21131119-4ae5-42be-9bd2-0167034bcc7b,OUTGOING,3a68f2da-08a0-412d-8fef-7291b5303e2e,665f102b-1bb6-4941-ad24-1c6159af8e78,CA,2016-01-01,KOR,KOR,USA,23955,2018-10-20,1540045717,0,ONLINE,COMPUTER,Nancy Tim,ntim,185.168.1.1,KOREA,35.9078N,127.7669E
